MW	molecular weight
ATS1m	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic masses
ATS2m	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic masses
ATS3m	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic masses
ATS4m	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic masses
ATS5m	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic masses
ATS6m	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic masses
ATS7m	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic masses
ATS8m	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic masses
ATS1v	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic van der Waals volumes
ATS2v	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic van der Waals volumes
ATS3v	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic van der Waals volumes
ATS4v	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic van der Waals volumes
ATS5v	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic van der Waals volumes
ATS6v	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic van der Waals volumes
ATS7v	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic van der Waals volumes
ATS8v	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic van der Waals volumes
ATS1e	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic Sanderson electronegativities
ATS2e	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic Sanderson electronegativities
ATS3e	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic Sanderson electronegativities
ATS4e	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic Sanderson electronegativities
ATS5e	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic Sanderson electronegativities
ATS6e	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic Sanderson electronegativities
ATS7e	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic Sanderson electronegativities
ATS8e	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic Sanderson electronegativities
ATS1p	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic polarizabilities
ATS2p	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic polarizabilities
ATS3p	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic polarizabilities
ATS4p	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic polarizabilities
ATS5p	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic polarizabilities
ATS6p	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic polarizabilities
ATS7p	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic polarizabilities
ATS8p	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic polarizabilities
MATS1m	Moran autocorrelation - lag 1 / weighted by atomic masses
MATS2m	Moran autocorrelation - lag 2 / weighted by atomic masses
MATS3m	Moran autocorrelation - lag 3 / weighted by atomic masses
MATS4m	Moran autocorrelation - lag 4 / weighted by atomic masses
MATS5m	Moran autocorrelation - lag 5 / weighted by atomic masses
MATS6m	Moran autocorrelation - lag 6 / weighted by atomic masses
MATS7m	Moran autocorrelation - lag 7 / weighted by atomic masses
MATS8m	Moran autocorrelation - lag 8 / weighted by atomic masses
MATS1v	Moran autocorrelation - lag 1 / weighted by atomic van der Waals volumes
MATS2v	Moran autocorrelation - lag 2 / weighted by atomic van der Waals volumes
MATS3v	Moran autocorrelation - lag 3 / weighted by atomic van der Waals volumes
MATS4v	Moran autocorrelation - lag 4 / weighted by atomic van der Waals volumes
MATS5v	Moran autocorrelation - lag 5 / weighted by atomic van der Waals volumes
MATS6v	Moran autocorrelation - lag 6 / weighted by atomic van der Waals volumes
MATS7v	Moran autocorrelation - lag 7 / weighted by atomic van der Waals volumes
MATS8v	Moran autocorrelation - lag 8 / weighted by atomic van der Waals volumes
MATS1e	Moran autocorrelation - lag 1 / weighted by atomic Sanderson electronegativities
MATS2e	Moran autocorrelation - lag 2 / weighted by atomic Sanderson electronegativities
MATS3e	Moran autocorrelation - lag 3 / weighted by atomic Sanderson electronegativities
MATS4e	Moran autocorrelation - lag 4 / weighted by atomic Sanderson electronegativities
MATS5e	Moran autocorrelation - lag 5 / weighted by atomic Sanderson electronegativities
MATS6e	Moran autocorrelation - lag 6 / weighted by atomic Sanderson electronegativities
MATS7e	Moran autocorrelation - lag 7 / weighted by atomic Sanderson electronegativities
MATS8e	Moran autocorrelation - lag 8 / weighted by atomic Sanderson electronegativities
MATS1p	Moran autocorrelation - lag 1 / weighted by atomic polarizabilities
MATS2p	Moran autocorrelation - lag 2 / weighted by atomic polarizabilities
MATS3p	Moran autocorrelation - lag 3 / weighted by atomic polarizabilities
MATS4p	Moran autocorrelation - lag 4 / weighted by atomic polarizabilities
MATS5p	Moran autocorrelation - lag 5 / weighted by atomic polarizabilities
MATS6p	Moran autocorrelation - lag 6 / weighted by atomic polarizabilities
MATS7p	Moran autocorrelation - lag 7 / weighted by atomic polarizabilities
MATS8p	Moran autocorrelation - lag 8 / weighted by atomic polarizabilities
GATS1m	Geary autocorrelation - lag 1 / weighted by atomic masses
GATS2m	Geary autocorrelation - lag 2 / weighted by atomic masses
GATS3m	Geary autocorrelation - lag 3 / weighted by atomic masses
GATS4m	Geary autocorrelation - lag 4 / weighted by atomic masses
GATS5m	Geary autocorrelation - lag 5 / weighted by atomic masses
GATS6m	Geary autocorrelation - lag 6 / weighted by atomic masses
GATS7m	Geary autocorrelation - lag 7 / weighted by atomic masses
GATS8m	Geary autocorrelation - lag 8 / weighted by atomic masses
GATS1v	Geary autocorrelation - lag 1 / weighted by atomic van der Waals volumes
GATS2v	Geary autocorrelation - lag 2 / weighted by atomic van der Waals volumes
GATS3v	Geary autocorrelation - lag 3 / weighted by atomic van der Waals volumes
GATS4v	Geary autocorrelation - lag 4 / weighted by atomic van der Waals volumes
GATS5v	Geary autocorrelation - lag 5 / weighted by atomic van der Waals volumes
GATS6v	Geary autocorrelation - lag 6 / weighted by atomic van der Waals volumes
GATS7v	Geary autocorrelation - lag 7 / weighted by atomic van der Waals volumes
GATS8v	Geary autocorrelation - lag 8 / weighted by atomic van der Waals volumes
GATS1e	Geary autocorrelation - lag 1 / weighted by atomic Sanderson electronegativities
GATS2e	Geary autocorrelation - lag 2 / weighted by atomic Sanderson electronegativities
GATS3e	Geary autocorrelation - lag 3 / weighted by atomic Sanderson electronegativities
GATS4e	Geary autocorrelation - lag 4 / weighted by atomic Sanderson electronegativities
GATS5e	Geary autocorrelation - lag 5 / weighted by atomic Sanderson electronegativities
GATS6e	Geary autocorrelation - lag 6 / weighted by atomic Sanderson electronegativities
GATS7e	Geary autocorrelation - lag 7 / weighted by atomic Sanderson electronegativities
GATS8e	Geary autocorrelation - lag 8 / weighted by atomic Sanderson electronegativities
GATS1p	Geary autocorrelation - lag 1 / weighted by atomic polarizabilities
GATS2p	Geary autocorrelation - lag 2 / weighted by atomic polarizabilities
GATS3p	Geary autocorrelation - lag 3 / weighted by atomic polarizabilities
GATS4p	Geary autocorrelation - lag 4 / weighted by atomic polarizabilities
GATS5p	Geary autocorrelation - lag 5 / weighted by atomic polarizabilities
GATS6p	Geary autocorrelation - lag 6 / weighted by atomic polarizabilities
GATS7p	Geary autocorrelation - lag 7 / weighted by atomic polarizabilities
GATS8p	Geary autocorrelation - lag 8 / weighted by atomic polarizabilities
EPS0	edge connectivity index of order 0
EPS1	edge connectivity index of order 1
EEig01x	Eigenvalue 01from edge adj. matrix weighted by edge degrees
EEig02x	Eigenvalue 02from edge adj. matrix weighted by edge degrees
EEig03x	Eigenvalue 03from edge adj. matrix weighted by edge degrees
EEig04x	Eigenvalue 04from edge adj. matrix weighted by edge degrees
EEig05x	Eigenvalue 05from edge adj. matrix weighted by edge degrees
EEig06x	Eigenvalue 06from edge adj. matrix weighted by edge degrees
EEig07x	Eigenvalue 07from edge adj. matrix weighted by edge degrees
EEig08x	Eigenvalue 08from edge adj. matrix weighted by edge degrees
EEig09x	Eigenvalue 09from edge adj. matrix weighted by edge degrees
EEig10x	Eigenvalue 10from edge adj. matrix weighted by edge degrees
EEig11x	Eigenvalue 11from edge adj. matrix weighted by edge degrees
EEig12x	Eigenvalue 12from edge adj. matrix weighted by edge degrees
EEig13x	Eigenvalue 13from edge adj. matrix weighted by edge degrees
EEig14x	Eigenvalue 14from edge adj. matrix weighted by edge degrees
EEig15x	Eigenvalue 15from edge adj. matrix weighted by edge degrees
EEig01d	Eigenvalue 01 from edge adj. matrix weighted by dipole moments
EEig02d	Eigenvalue 02 from edge adj. matrix weighted by dipole moments
EEig03d	Eigenvalue 03 from edge adj. matrix weighted by dipole moments
EEig04d	Eigenvalue 04 from edge adj. matrix weighted by dipole moments
EEig05d	Eigenvalue 05 from edge adj. matrix weighted by dipole moments
EEig06d	Eigenvalue 06 from edge adj. matrix weighted by dipole moments
EEig07d	Eigenvalue 07 from edge adj. matrix weighted by dipole moments
EEig08d	Eigenvalue 08 from edge adj. matrix weighted by dipole moments
EEig09d	Eigenvalue 09 from edge adj. matrix weighted by dipole moments
EEig10d	Eigenvalue 10 from edge adj. matrix weighted by dipole moments
EEig11d	Eigenvalue 11 from edge adj. matrix weighted by dipole moments
EEig12d	Eigenvalue 12 from edge adj. matrix weighted by dipole moments
EEig13d	Eigenvalue 13 from edge adj. matrix weighted by dipole moments
EEig14d	Eigenvalue 14 from edge adj. matrix weighted by dipole moments
EEig15d	Eigenvalue 15 from edge adj. matrix weighted by dipole moments
EEig01r	Eigenvalue 01 from edge adj. matrix weighted by resonance integrals
EEig02r	Eigenvalue 02 from edge adj. matrix weighted by resonance integrals
EEig03r	Eigenvalue 03 from edge adj. matrix weighted by resonance integrals
EEig04r	Eigenvalue 04 from edge adj. matrix weighted by resonance integrals
EEig05r	Eigenvalue 05 from edge adj. matrix weighted by resonance integrals
EEig06r	Eigenvalue 06 from edge adj. matrix weighted by resonance integrals
EEig07r	Eigenvalue 07 from edge adj. matrix weighted by resonance integrals
EEig08r	Eigenvalue 08 from edge adj. matrix weighted by resonance integrals
EEig09r	Eigenvalue 09 from edge adj. matrix weighted by resonance integrals
EEig10r	Eigenvalue 10 from edge adj. matrix weighted by resonance integrals
EEig11r	Eigenvalue 11 from edge adj. matrix weighted by resonance integrals
EEig12r	Eigenvalue 12 from edge adj. matrix weighted by resonance integrals
EEig13r	Eigenvalue 13 from edge adj. matrix weighted by resonance integrals
EEig14r	Eigenvalue 14 from edge adj. matrix weighted by resonance integrals
EEig15r	Eigenvalue 15 from edge adj. matrix weighted by resonance integrals
ESpm01u	Spectral moment 01 from edge adj. matrix
ESpm02u	Spectral moment 02 from edge adj. matrix
ESpm03u	Spectral moment 03 from edge adj. matrix
ESpm04u	Spectral moment 04 from edge adj. matrix
ESpm05u	Spectral moment 05 from edge adj. matrix
ESpm06u	Spectral moment 06 from edge adj. matrix
ESpm07u	Spectral moment 07 from edge adj. matrix
ESpm08u	Spectral moment 08 from edge adj. matrix
ESpm09u	Spectral moment 09 from edge adj. matrix
ESpm10u	Spectral moment 10 from edge adj. matrix
ESpm11u	Spectral moment 11 from edge adj. matrix
ESpm12u	Spectral moment 12 from edge adj. matrix
ESpm13u	Spectral moment 13 from edge adj. matrix
ESpm14u	Spectral moment 14 from edge adj. matrix
ESpm15u	Spectral moment 15 from edge adj. matrix
ESpm01x	Spectral moment 01 from edge adj. matrix weighted by edge degrees
ESpm02x	Spectral moment 02 from edge adj. matrix weighted by edge degrees
ESpm03x	Spectral moment 03 from edge adj. matrix weighted by edge degrees
ESpm04x	Spectral moment 04 from edge adj. matrix weighted by edge degrees
ESpm05x	Spectral moment 05 from edge adj. matrix weighted by edge degrees
ESpm06x	Spectral moment 06 from edge adj. matrix weighted by edge degrees
ESpm07x	Spectral moment 07 from edge adj. matrix weighted by edge degrees
ESpm08x	Spectral moment 08 from edge adj. matrix weighted by edge degrees
ESpm09x	Spectral moment 09 from edge adj. matrix weighted by edge degrees
ESpm10x	Spectral moment 10 from edge adj. matrix weighted by edge degrees
ESpm11x	Spectral moment 11 from edge adj. matrix weighted by edge degrees
ESpm12x	Spectral moment 12 from edge adj. matrix weighted by edge degrees
ESpm13x	Spectral moment 13 from edge adj. matrix weighted by edge degrees
ESpm14x	Spectral moment 14 from edge adj. matrix weighted by edge degrees
ESpm15x	Spectral moment 15 from edge adj. matrix weighted by edge degrees
ESpm01d	Spectral moment 01 from edge adj. matrix weighted by dipole moments
ESpm02d	Spectral moment 02 from edge adj. matrix weighted by dipole moments
ESpm03d	Spectral moment 03 from edge adj. matrix weighted by dipole moments
ESpm04d	Spectral moment 04 from edge adj. matrix weighted by dipole moments
ESpm05d	Spectral moment 05 from edge adj. matrix weighted by dipole moments
ESpm06d	Spectral moment 06 from edge adj. matrix weighted by dipole moments
ESpm07d	Spectral moment 07 from edge adj. matrix weighted by dipole moments
ESpm08d	Spectral moment 08 from edge adj. matrix weighted by dipole moments
ESpm09d	Spectral moment 09 from edge adj. matrix weighted by dipole moments
ESpm10d	Spectral moment 10 from edge adj. matrix weighted by dipole moments
ESpm11d	Spectral moment 11 from edge adj. matrix weighted by dipole moments
ESpm12d	Spectral moment 12 from edge adj. matrix weighted by dipole moments
ESpm13d	Spectral moment 13 from edge adj. matrix weighted by dipole moments
ESpm14d	Spectral moment 14 from edge adj. matrix weighted by dipole moments
ESpm15d	Spectral moment 15 from edge adj. matrix weighted by dipole moments
ESpm01r	Spectral moment 01 from edge adj. matrix weighted by resonance integrals
ESpm02r	Spectral moment 02 from edge adj. matrix weighted by resonance integrals
ESpm03r	Spectral moment 03 from edge adj. matrix weighted by resonance integrals
ESpm04r	Spectral moment 04 from edge adj. matrix weighted by resonance integrals
ESpm05r	Spectral moment 05 from edge adj. matrix weighted by resonance integrals
ESpm06r	Spectral moment 06 from edge adj. matrix weighted by resonance integrals
ESpm07r	Spectral moment 07 from edge adj. matrix weighted by resonance integrals
ESpm08r	Spectral moment 08 from edge adj. matrix weighted by resonance integrals
ESpm09r	Spectral moment 09 from edge adj. matrix weighted by resonance integrals
ESpm10r	Spectral moment 10 from edge adj. matrix weighted by resonance integrals
ESpm11r	Spectral moment 11 from edge adj. matrix weighted by resonance integrals
ESpm12r	Spectral moment 12 from edge adj. matrix weighted by resonance integrals
ESpm13r	Spectral moment 13 from edge adj. matrix weighted by resonance integrals
ESpm14r	Spectral moment 14 from edge adj. matrix weighted by resonance integrals
ESpm15r	Spectral moment 15 from edge adj. matrix weighted by resonance integrals
BEHm1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic masses
BEHm2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic masses
BEHm3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic masses
BEHm4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic masses
BEHm5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic masses
BEHm6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic masses
BEHm7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic masses
BEHm8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic masses
BELm1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic masses
BELm2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic masses
BELm3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic masses
BELm4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic masses
BELm5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic masses
BELm6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic masses
BELm7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic masses
BELm8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic masses
BEHv1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic van der Waals volumes
BEHv2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic van der Waals volumes
BEHv3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic van der Waals volumes
BEHv4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic van der Waals volumes
BEHv5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic van der Waals volumes
BEHv6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic van der Waals volumes
BEHv7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic van der Waals volumes
BEHv8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic van der Waals volumes
BELv1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic van der Waals volumes
BELv2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic van der Waals volumes
BELv3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic van der Waals volumes
BELv4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic van der Waals volumes
BELv5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic van der Waals volumes
BELv6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic van der Waals volumes
BELv7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic van der Waals volumes
BELv8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic van der Waals volumes
BEHe1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHe8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic Sanderson electronegativities
